morpheme	type	origin	meaning_vi	gloss_en	rank	note
un-	prefix	Germanic	không, phi, đảo ngược	not, reverse	1	Tiền tố phổ biến nhất — chiếm 26% mọi từ có tiền tố
re-	prefix	Latin	lại, trở lại	again, back	2	
in-	prefix	Latin	không, phi	not	3	Biến thể: im- (trước b/m/p), il- (trước l), ir- (trước r)
dis-	prefix	Latin	không, tách ra, đảo ngược	not, apart	4	4 tiền tố đầu phủ 58% mọi từ có tiền tố
en-	prefix	Latin	làm cho, khiến thành	make, put into	5	Biến thể: em- trước b/m/p
non-	prefix	Latin	không, phi	not	6	
over-	prefix	Germanic	quá mức, vượt trên	too much, above	7	
mis-	prefix	Germanic	sai, nhầm	wrongly	8	
sub-	prefix	Latin	dưới, phụ	under, below	9	
pre-	prefix	Latin	trước	before	10	
inter-	prefix	Latin	giữa, liên	between, among	11	
fore-	prefix	Germanic	trước, phía trước	before, front	12	
de-	prefix	Latin	bỏ, xuống, ngược lại	remove, down	13	
trans-	prefix	Latin	xuyên qua, chuyển	across, through	14	
super-	prefix	Latin	trên, siêu	above, beyond	15	
semi-	prefix	Latin	nửa, bán	half	16	
anti-	prefix	Greek	chống, phản	against	17	
mid-	prefix	Germanic	giữa	middle	18	
under-	prefix	Germanic	dưới, chưa đủ	below, too little	19	20 tiền tố đầu phủ 97% mọi từ có tiền tố
co-	prefix	Latin	cùng, đồng	together	20	Biến thể: com-, con-, col-, cor-
ex-	prefix	Latin	ra ngoài, cựu	out of, former	21	
pro-	prefix	Latin	ủng hộ, phía trước	forward, in favor	22	
auto-	prefix	Greek	tự, tự động	self	23	
multi-	prefix	Latin	nhiều, đa	many	24	
-s	suffix	Germanic	số nhiều; ngôi 3 số ít	plural; 3rd person	1	Hình vị biến hình
-ed	suffix	Germanic	thì quá khứ; quá khứ phân từ	past tense	2	Hình vị biến hình
-ing	suffix	Germanic	đang; danh động từ	progressive, gerund	3	Hình vị biến hình
-er	suffix	Germanic	người/vật làm việc gì; hơn	agent; comparative	4	CHÍNH LÀ CỤM ER TRONG VIDEO — teach→teacher, work→worker
-est	suffix	Germanic	nhất	superlative	5	
-ly	suffix	Germanic	một cách…	in manner of	6	Biến tính từ thành trạng từ
-tion	suffix	Latin	sự, việc, quá trình	act, state	7	Biến thể: -sion, -ation
-ness	suffix	Germanic	sự, tính, trạng thái	state, quality	8	Biến tính từ thành danh từ
-ment	suffix	Latin	sự, kết quả của việc	result, action	9	
-able	suffix	Latin	có thể … được	capable of	10	Biến thể: -ible
-ful	suffix	Germanic	đầy, nhiều	full of	11	
-less	suffix	Germanic	không có, thiếu	without	12	
-ity	suffix	Latin	tính, sự	state, quality	13	
-ous	suffix	Latin	có tính chất, đầy	full of, having	14	
-al	suffix	Latin	thuộc về	relating to	15	
-ive	suffix	Latin	có xu hướng, mang tính	tending to	16	
-ist	suffix	Greek	người theo/làm	one who	17	
-ism	suffix	Greek	chủ nghĩa, học thuyết	doctrine	18	
-ize	suffix	Greek	làm cho thành	make into	19	Biến thể Anh-Anh: -ise
-ic	suffix	Greek	thuộc về, có tính	relating to	20	
-y	suffix	Germanic	có tính chất	characterized by	21	
-ship	suffix	Germanic	trạng thái, chức vị	state, position	22	
-hood	suffix	Germanic	thời kỳ, trạng thái	state, period	23	
port	root	Latin	mang, chở	carry	1	import, export, transport, portable, support, report
spect	root	Latin	nhìn	look	2	inspect, respect, expect, aspect, spectator
dict	root	Latin	nói	say, speak	3	predict, dictionary, contradict, dictate
duc	root	Latin	dẫn, dắt	lead	4	produce, reduce, introduce, conduct — biến thể: duct
ject	root	Latin	ném, quăng	throw	5	project, reject, inject, object, subject
scrib	root	Latin	viết	write	6	describe, prescribe, subscribe — biến thể: script
mit	root	Latin	gửi, phái	send	7	submit, permit, transmit, admit — biến thể: miss
tract	root	Latin	kéo	pull, drag	8	attract, extract, contract, tractor
fer	root	Latin	mang, đem	carry, bear	9	transfer, refer, prefer, offer, differ
pos	root	Latin	đặt, để	put, place	10	position, compose, expose, deposit, purpose
ven	root	Latin	đến	come	11	convene, prevent, invent, event — biến thể: vent
tend	root	Latin	căng, kéo dài	stretch	12	extend, attend, intend, pretend
cede	root	Latin	đi, nhường	go, yield	13	proceed, precede, exceed — biến thể: ceed, cess
form	root	Latin	hình dạng	shape	14	reform, transform, uniform, formal, inform
struct	root	Latin	xây dựng	build	15	construct, instruct, structure, destroy
vis	root	Latin	nhìn thấy	see	16	vision, visible, television, revise — biến thể: vid
aud	root	Latin	nghe	hear	17	audio, audience, audible, auditorium
graph	root	Greek	viết, vẽ	write, draw	18	photograph, paragraph, graphic — biến thể: gram
phon	root	Greek	âm thanh	sound	19	telephone, symphony, phonics, microphone
tele	root	Greek	xa	far	20	telephone, television, telescope
scope	root	Greek	xem, quan sát	watch, view	21	microscope, telescope
micro	root	Greek	nhỏ, vi	small	22	microscope, microphone, microwave
bio	root	Greek	sự sống	life	23	biology, biography, antibiotic
geo	root	Greek	đất, trái đất	earth	24	geography, geology, geometry
log	root	Greek	lời, học thuyết	word, study	25	logic, dialogue, biology, apology
therm	root	Greek	nhiệt	heat	26	thermometer, thermal
meter	root	Greek	đo	measure	27	thermometer, diameter, kilometer — biến thể: metr
photo	root	Greek	ánh sáng	light	28	photograph, photocopy
chron	root	Greek	thời gian	time	29	chronic, synchronize, chronology
psych	root	Greek	tâm trí, tinh thần	mind, soul	30	psychology, psychiatric
man	root	Latin	tay	hand	31	manual, manage, manufacture, manuscript
ped	root	Latin	chân	foot	32	pedal, pedestrian — chú ý: ped Hy Lạp nghĩa là trẻ em
cap	root	Latin	đầu; nắm giữ	head; take	33	capital, captain, capture, capable — biến thể: cept
cred	root	Latin	tin	believe	34	credit, incredible, credible
mem	root	Latin	nhớ	remember	35	memory, memorial, remember
mob	root	Latin	chuyển động	move	36	mobile, automobile — biến thể: mot, mov
vac	root	Latin	trống, rỗng	empty	37	vacant, vacation, vacuum
vit	root	Latin	sự sống	life	38	vital, vitamin, survive — biến thể: viv
nat	root	Latin	sinh ra	born	39	nature, native, national, innate
mort	root	Latin	chết	death	40	mortal, mortgage
sens	root	Latin	cảm nhận	feel	41	sense, sensitive, sensation — biến thể: sent
voc	root	Latin	gọi, tiếng nói	call, voice	42	vocal, vocabulary, invoke — biến thể: vok
sci	root	Latin	biết	know	43	science, conscious, conscience
cogn	root	Latin	biết, nhận ra	know	44	recognize, cognitive
fac	root	Latin	làm, tạo	make, do	45	factory, manufacture, benefit — biến thể: fect, fic
jud	root	Latin	xét xử	judge	46	judge, judicial, prejudice
leg	root	Latin	luật; đọc	law; read	47	legal, legislation, legible
liber	root	Latin	tự do	free	48	liberty, liberal, deliver
loc	root	Latin	nơi chốn	place	49	local, location, allocate
mag	root	Latin	lớn	great	50	magnify, magnificent, major — biến thể: magn, maj
pel	root	Latin	đẩy	push, drive	51	propel, expel, compel — biến thể: puls
plic	root	Latin	gấp, xếp	fold	52	complicate, application, duplicate — biến thể: ply
reg	root	Latin	cai trị, quy tắc	rule	53	regular, regulate, regime
