ngsl_rank,ngsl_band,term,phonetic,definition_vi,part_of_speech,all_pos,level,track,is_function_word,family_size,word_family,needs_review
1,1000,the,/ðə/,"cái, con, chiếc (mạo từ xác định)",Article,Article|Adverb,A1,Grammar,1,1,,0
2,1000,be,/biː/,"thì, là, ở, tồn tại",Verb,Verb,A1,Kids,0,18,am m is isn s are re aren ain been was wasn were weren being bein beings,0
3,1000,and,/ənd/,"và, với, cùng với",Conjunction,Conjunction,A1,Grammar,1,2,ands,0
4,1000,of,/ʌv/,"của, thuộc về, về",Preposition,Preposition,A1,Grammar,1,1,,0
5,1000,to,/tuː/,"đến, tới, cho, về phía",Preposition,Preposition|Adverb,A1,Grammar,1,1,,0
6,1000,a,/ə/,một (mạo từ không xác định),Article,Noun|Article|Preposition,A1,Grammar,1,2,an,0
7,1000,in,/ɪn/,"trong, ở trong, vào",Preposition,Preposition|Adverb|Noun|Adjective|Verb,A1,Grammar,1,2,ins,0
8,1000,have,/hæv/,"có, sở hữu, mang theo",Verb,Verb|Noun,A1,Kids,0,10,haven ve has hasn had hadn d having hafta,0
9,1000,it,/ɪt/,"nó, cái đó, điều đó",Pronoun,Pronoun|Noun,A1,Grammar,1,2,its,0
10,1000,you,/juː/,"bạn, các bạn, anh, chị",Pronoun,Pronoun,A1,Grammar,1,5,y ye your yours,0
11,1000,he,/hiː/,"anh ấy, ông ấy, cậu ta",Pronoun,Pronoun|Noun,A1,Grammar,1,4,him im his,0
12,1000,for,/fɔːr/,"cho, dành cho, vì",Preposition,Preposition|Conjunction,A1,Grammar,1,1,,0
13,1000,they,/ðeɪ/,"họ, chúng nó, chúng",Pronoun,Pronoun|Noun,A1,Grammar,1,5,them em their theirs,0
14,1000,not,/nɑːt/,"không, chẳng, đừng",Adverb,Adverb,A1,Kids,0,2,t,0
15,1000,that,/ðæt/,"đó, kia, cái đó, điều đó",Pronoun,Adjective|Pronoun|Adverb|Conjunction,A1,Grammar,1,2,those,0
16,1000,we,/wiː/,"chúng tôi, chúng ta, bọn mình",Pronoun,Pronoun|Noun,A1,Grammar,1,4,us our ours,0
17,1000,on,/ɑːn/,"trên, ở trên, vào",Preposition,Preposition|Noun|Adverb|Adjective,A1,Grammar,1,1,,0
18,1000,with,/wɪð/,"với, cùng với, bằng",Preposition,Preposition,A1,Grammar,1,1,,0
19,1000,this,/ðɪs/,"này, cái này, điều này",Pronoun,Adjective|Pronoun|Adverb,A1,Grammar,1,2,these,0
20,1000,i,/aɪ/,"tôi, mình, tớ, ta",Pronoun,Noun|Pronoun,A1,Grammar,1,3,me my,0
21,1000,do,/duː/,"làm, thực hiện, tiến hành",Verb,Verb|Noun,A1,Kids,0,9,does don doesn did didn doing done doin,0
22,1000,as,/æz/,"như, giống như, khi, vì",Conjunction,Adverb|Conjunction|Pronoun|Noun,A1,Grammar,1,1,,0
23,1000,at,/æt/,"tại, ở, vào lúc",Preposition,Preposition|Noun,A1,Grammar,1,1,,0
24,1000,she,/ʃiː/,"cô ấy, bà ấy, chị ấy",Pronoun,Pronoun|Noun,A1,Grammar,1,3,her hers,0
25,1000,but,/bʌt/,"nhưng, mà, song",Conjunction,Conjunction|Adverb|Noun|Pronoun|Verb,A1,Grammar,1,2,buts,0
26,1000,from,/frʌm/,"từ, kể từ, xuất phát từ",Preposition,Preposition,A1,Grammar,1,1,,0
27,1000,by,/baɪ/,"bởi, bằng, do, gần",Preposition,Preposition|Noun|Adverb|Adjective,A1,Grammar,1,1,,0
28,1000,will,/wɪl/,"sẽ, sắp sửa (thì tương lai)",Auxiliary,Auxiliary|Noun|Verb,A1,Grammar,1,6,wills willed willing won ll,0
29,1000,or,/ɔːr/,"hoặc, hay, hay là",Conjunction,Noun|Preposition|Conjunction,A1,Grammar,1,1,,0
30,1000,say,/seɪ/,"nói, phát biểu, bảo",Verb,Noun|Verb,A1,Kids,0,5,says said saying sayings,0
31,1000,go,/ɡoʊ/,"đi, đi đến, ra đi",Verb,Noun|Verb,A1,Kids,0,7,goes went going gone goin gonna,0
32,1000,so,/soʊ/,"vì vậy, cho nên, nên",Conjunction,Adverb|Conjunction|Interjection|Noun,A1,Grammar,1,1,,0
33,1000,all,/ɔːl/,"tất cả, toàn bộ, mọi",Determiner,Determiner|Adjective|Noun|Adverb,A1,Grammar,1,1,,0
34,1000,if,/ɪf/,"nếu, nếu như, giả sử",Conjunction,Conjunction|Noun,A1,Grammar,1,2,ifs,0
35,1000,one,/wʌn/,"một, số một, một cái",Numeral,Numeral|Adjective|Noun,A1,Kids,0,2,ones,0
36,1000,would,/wʊd/,"sẽ, hẳn là (thức điều kiện)",Auxiliary,Auxiliary,A1,Grammar,1,2,wouldn,0
37,1000,about,/əˈbaʊt/,"về, liên quan đến, khoảng",Preposition,Adverb|Preposition|Verb,A1,Grammar,1,1,,0
38,1000,can,/kæn/,"có thể, có khả năng, được phép",Auxiliary,Auxiliary|Noun|Verb,A1,Grammar,1,5,cans canned canning cannot,0
39,1000,which,/wɪtʃ/,"cái nào, điều mà, mà",Pronoun,Adjective|Pronoun,A1,Grammar,1,1,,0
40,1000,there,/ðɛr/,"ở đó, đằng kia, tại đó",Adverb,Adverb|Interjection|Noun,A1,Kids,0,1,,0
41,1000,know,/noʊ/,"biết, hiểu biết, quen biết",Verb,Verb|Noun,A1,Kids,0,5,knows knew knowing known,0
42,1000,more,/mɔːr/,"nhiều hơn, thêm, hơn nữa",Adjective,Adjective|Adverb,A1,Kids,0,1,,0
43,1000,get,/ɡɛt/,"nhận được, lấy được, trở nên",Verb,Verb,A1,Kids,0,7,gets got getting gotten gettin gotta,0
44,1000,who,/huː/,"ai, người mà, người nào",Pronoun,Pronoun,A1,Grammar,1,3,whom whose,0
45,1000,like,/laɪk/,"thích, ưa thích, yêu thích",Verb,Adjective|Preposition|Adverb|Conjunction|Noun|Verb,A1,Kids,0,4,likes liked liking,0
46,1000,when,/wɛn/,"khi, lúc, khi nào",Conjunction,Adverb|Conjunction|Pronoun|Noun,A1,Grammar,1,1,,0
47,1000,think,/θɪŋk/,"nghĩ, suy nghĩ, cho rằng",Verb,Verb,A1,Kids,0,5,thinks thought thinking thoughts,0
48,1000,make,/meɪk/,"làm, chế tạo, tạo ra",Verb,Noun|Verb,A1,Kids,0,4,makes made making,0
49,1000,time,/taɪm/,"thời gian, thời điểm, lần",Noun,Noun|Verb,A1,Kids,0,4,times timed timing,0
50,1000,see,/siː/,"thấy, nhìn thấy, hiểu",Verb,Verb|Noun,A1,Kids,0,5,sees saw seeing seen,0
51,1000,what,/wʌt/,"cái gì, gì, điều gì",Pronoun,Pronoun|Adjective,A1,Grammar,1,1,,0
52,1000,up,/ʌp/,"lên, lên trên, ở trên",Adverb,Adverb|Preposition|Adjective|Noun|Verb,A1,Kids,0,4,ups upped upping,0
53,1000,some,/sʌm/,"một vài, một số, vài",Determiner,Determiner|Adjective|Noun|Adverb,A1,Grammar,1,1,,0
54,1000,other,/ˈʌðər/,"khác, kia, còn lại",Adjective,Pronoun|Adjective|Noun|Adverb,A1,Kids,0,2,others,0
55,1000,out,/aʊt/,"ra, ra ngoài, bên ngoài",Adverb,Preposition|Adverb|Noun|Adjective|Verb,A1,Kids,0,5,outs outed outing outings,0
56,1000,good,/ɡʊd/,"tốt, hay, giỏi, ngon",Adjective,Adjective|Noun,A1,Kids,0,2,goodest,0
57,1000,people,/ˈpiːpəl/,"người, mọi người, dân chúng",Noun,Noun|Verb,A1,Kids,0,4,peoples peopled peopling,0
58,1000,year,/jɪr/,"năm, niên khóa, tuổi",Noun,Noun,A1,Kids,0,2,years,0
59,1000,take,/teɪk/,"lấy, cầm, mang, nhận",Verb,Noun|Verb,A1,Kids,0,5,takes took taking taken,0
60,1000,no,/noʊ/,"không, không có, không một",Determiner,Determiner|Adverb|Noun,A1,Grammar,1,1,,0
61,1000,well,/wɛl/,"tốt, giỏi, khỏe, ổn",Adverb,Verb|Adverb|Adjective|Interjection|Noun,A1,Kids,0,4,wells welled welling,0
62,1000,because,/bɪˈkɔːz/,"bởi vì, vì, do là",Conjunction,Conjunction,A1,Grammar,1,2,cos,0
63,1000,very,/ˈvɛri/,"rất, lắm, hết sức",Adverb,Adjective|Adverb,A1,Kids,0,1,,0
64,1000,just,/dʒʌst/,"chỉ, vừa mới, đúng",Adverb,Adjective|Adverb|Noun,A1,Kids,0,1,,0
65,1000,come,/kʌm/,"đến, tới, đi đến",Verb,Verb,A1,Kids,0,5,comes came coming cometh,0
66,1000,could,/kʊd/,"có thể, đã có thể, có lẽ",Auxiliary,Auxiliary|Noun|Verb,A1,Grammar,1,3,couldn coulda,0
67,1000,work,/wɜːrk/,"làm việc, hoạt động, vận hành",Verb,Noun|Verb,A1,Kids,0,5,works worked working workings,0
68,1000,use,/juːs/,"dùng, sử dụng, áp dụng",Verb,Noun|Verb,A1,Kids,0,4,uses used using,0
69,1000,than,/ðæn/,"hơn, so với, hơn là",Conjunction,Conjunction,A1,Grammar,1,1,,0
70,1000,now,/naʊ/,"bây giờ, hiện nay, lúc này",Adverb,Adverb|Conjunction|Noun,A1,Kids,0,1,,0
71,1000,then,/ðɛn/,"khi đó, sau đó, rồi thì",Adverb,Adverb|Conjunction|Adjective|Noun,A1,Kids,0,1,,0
72,1000,also,/ˈɔːlsoʊ/,"cũng, cũng vậy, ngoài ra",Adverb,Adverb,A1,Kids,0,1,,0
73,1000,into,/ˈɪntu/,"vào, vào trong, thành",Preposition,Preposition|Noun,A1,Grammar,1,1,,0
74,1000,only,/ˈoʊnli/,"chỉ, chỉ có, duy nhất",Adverb,Adjective|Adverb|Conjunction,A1,Kids,0,1,,0
